Numero de aluno;Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (Dropout);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (Dropout);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
10470;Single;Over 23 years old;1;17;Evening;1;1;1;1;5;11;No;No;No;1;Male;0;25;0;0;5;13;1;10.0;0;0;5;8;2;11.333333333333334;0;12.4;0.5;1.79;Dropout
14345;Single;1st phase—general contingent;1;8;Daytime;1;1;13;28;10;10;Yes;No;No;1;Male;0;18;0;0;6;6;6;13.5;0;0;6;9;5;13.2;0;8.9;1.4;3.51;Graduate
36299;Single;1st phase—general contingent;6;5;Daytime;6;1;1;1;10;10;Yes;No;No;1;Male;0;22;0;0;6;6;6;14.166666666666666;0;0;6;8;6;13.625;0;10.8;1.4;1.74;Graduate
71756;Single;Over 23 years old;1;14;Daytime;1;1;13;14;4;10;No;No;No;1;Male;0;27;0;0;6;7;6;14.0;0;0;6;7;6;14.714285714285714;0;8.9;1.4;3.51;Graduate
38262;Single;Over 23 years old;1;4;Daytime;12;1;4;1;3;5;No;No;No;1;Male;0;25;0;0;3;4;0;0.0;0;0;3;5;0;0.0;0;16.2;0.3;-0.92;Dropout
23294;Single;2nd phase—general contingent;4;7;Daytime;1;1;19;26;1;6;Yes;No;No;1;Male;0;18;0;0;5;9;3;11.666666666666666;0;0;5;10;3;11.333333333333334;4;7.6;2.6;0.32;Dropout
84307;Single;2nd phase—general contingent;1;6;Daytime;1;1;23;14;9;9;No;No;No;1;Male;0;20;0;0;5;7;5;14.6;1;0;5;5;5;14.2;0;12.7;3.7;-1.7;Graduate
62142;Single;Over 23 years old;1;4;Daytime;1;1;3;4;3;3;No;No;No;1;Male;0;27;0;0;6;10;5;13.0;0;0;6;13;5;11.5;0;16.2;0.3;-0.92;Graduate
43962;Single;1st phase—general contingent;1;3;Evening;1;1;1;1;10;10;No;No;No;1;Male;0;20;0;0;6;7;6;12.166666666666666;0;0;6;9;6;12.0;0;7.6;2.6;0.32;Graduate
83483;Single;1st phase—general contingent;1;9;Daytime;1;1;23;27;10;10;Yes;No;No;1;Male;0;22;0;0;5;9;0;0.0;0;0;5;5;1;12.0;0;7.6;2.6;0.32;Dropout
20840;Single;2nd phase—general contingent;6;7;Daytime;1;1;13;3;6;11;Yes;No;No;1;Male;0;19;0;0;5;10;3;10.5;0;0;5;11;3;10.8;0;12.4;0.5;1.79;Dropout
84077;Single;1st phase—general contingent;6;9;Daytime;1;1;3;14;5;6;No;No;No;1;Male;0;20;0;0;5;14;3;12.4;0;0;5;8;5;10.833333333333334;0;13.9;-0.3;0.79;Dropout
6771;Single;Change in course;4;2;Daytime;1;1;13;10;10;11;No;No;No;1;Male;0;19;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;Graduate
93528;Married;Over 23 years old;1;6;Daytime;7;1;1;1;5;5;Yes;No;No;0;Male;0;29;0;0;5;12;0;0.0;4;0;5;8;0;0.0;1;9.4;-0.8;-3.12;Dropout
15628;Single;1st phase—general contingent;2;12;Daytime;1;1;3;1;10;10;No;No;No;1;Male;0;19;0;0;8;8;7;13.828571428571427;0;0;8;8;7;13.828571428571427;0;12.7;3.7;-1.7;Graduate
3502;Single;Over 23 years old;2;17;Evening;1;1;13;27;10;9;Yes;No;No;1;Female;1;28;0;0;5;7;5;10.6;0;0;5;6;5;10.2;0;9.4;-0.8;-3.12;Dropout
86504;Married;1st phase—general contingent;1;10;Daytime;1;1;22;27;6;6;No;No;No;1;Female;0;20;0;0;6;7;6;11.5;0;0;6;6;6;11.666666666666666;0;7.6;2.6;0.32;Graduate
74167;Single;1st phase—general contingent;4;5;Daytime;1;1;22;27;10;9;Yes;No;No;1;Female;0;20;0;0;6;6;4;13.5;0;0;6;8;6;13.625;0;10.8;1.4;1.74;Graduate
45774;Single;Over 23 years old;1;3;Evening;1;1;19;5;1;2;Yes;No;No;1;Female;0;31;0;0;6;12;0;0.0;0;0;6;0;0;0.0;0;7.6;2.6;0.32;Dropout
73658;Single;2nd phase—general contingent;5;12;Daytime;1;1;10;1;6;6;Yes;No;No;1;Female;0;18;0;0;7;8;7;12.5375;0;0;8;9;7;12.614285714285714;0;13.9;-0.3;0.79;Graduate
58884;Single;2nd phase—general contingent;1;14;Daytime;1;1;1;14;9;8;Yes;No;No;1;Female;0;19;0;0;6;6;6;14.833333333333334;0;0;6;8;6;13.285714285714286;0;8.9;1.4;3.51;Dropout
71232;Single;1st phase—general contingent;1;9;Daytime;1;1;22;28;10;9;Yes;No;No;1;Female;0;18;0;0;5;10;4;12.0;0;0;5;9;4;12.8;0;13.9;-0.3;0.79;Graduate
9894;Single;2nd phase—general contingent;1;11;Daytime;1;1;22;27;8;8;No;No;No;1;Female;0;19;0;0;6;8;5;11.8;0;0;6;8;5;11.6;0;10.8;1.4;1.74;Graduate
88252;Single;1st phase—general contingent;1;9;Daytime;1;1;1;14;4;4;No;No;No;1;Female;1;18;0;0;5;5;5;15.0;0;0;5;5;5;15.2;0;12.7;3.7;-1.7;Graduate
96223;Single;2nd phase—general contingent;1;6;Daytime;1;1;23;14;12;12;No;No;No;1;Female;0;19;0;0;5;7;3;12.0;0;0;5;7;5;13.2;0;7.6;2.6;0.32;Graduate
67835;Single;2nd phase—general contingent;1;15;Daytime;1;1;23;28;10;9;Yes;No;No;1;Female;1;18;0;0;6;6;6;12.833333333333334;0;0;6;7;6;12.285714285714286;0;15.5;2.8;-4.06;Graduate
92166;Single;1st phase—general contingent;3;11;Daytime;1;1;22;27;10;4;Yes;No;No;1;Female;0;19;0;0;6;12;6;11.666666666666666;0;0;6;14;3;12.0;0;7.6;2.6;0.32;Graduate
10550;Single;1st phase—general contingent;4;13;Daytime;1;1;22;1;6;5;No;No;No;1;Female;0;19;0;0;7;9;7;12.1625;0;0;8;8;8;13.825;0;13.9;-0.3;0.79;Graduate
29979;Single;1st phase—general contingent;2;14;Daytime;1;1;13;1;10;4;Yes;No;No;1;Female;0;18;0;0;6;6;6;13.833333333333334;0;0;6;11;6;14.555555555555555;0;10.8;1.4;1.74;Graduate
95427;Single;1st phase—general contingent;1;12;Daytime;1;1;3;14;3;9;No;No;No;1;Female;0;19;0;0;7;12;4;12.45;0;0;7;11;5;11.7;0;16.2;0.3;-0.92;Dropout
14943;Single; Technological specialization diploma holders;1;14;Daytime;14;1;22;1;10;5;No;No;No;1;Female;1;20;0;2;6;9;6;12.125;0;2;6;7;6;13.571428571428571;0;11.1;0.6;2.02;Graduate
79767;Single;2nd phase—general contingent;1;14;Daytime;1;1;1;14;5;9;Yes;No;No;1;Female;0;20;0;0;6;8;5;13.4;0;0;6;10;4;13.0;0;12.7;3.7;-1.7;Dropout
50700;Single;2nd phase—general contingent;1;4;Daytime;1;1;22;27;5;7;No;No;Yes;1;Female;0;20;0;0;6;8;6;13.333333333333334;0;0;6;8;5;14.0;0;11.1;0.6;2.02;Dropout
13520;Single;Over 23 years old;1;17;Evening;3;1;22;27;10;10;No;No;No;1;Female;0;29;0;10;15;15;11;11.454545454545457;0;9;13;16;11;11.545454545454543;0;10.8;1.4;1.74;Dropout
36789;Single;2nd phase—general contingent;1;16;Daytime;1;1;23;10;8;1;No;No;No;0;Female;1;20;0;0;6;10;4;12.0;0;0;6;14;3;10.0;0;7.6;2.6;0.32;Dropout
65299;Divorced;Over 23 years old;1;16;Daytime;1;1;22;1;10;11;No;No;Yes;0;Female;0;31;0;0;7;8;6;12.666666666666666;0;0;7;9;5;12.6;0;8.9;1.4;3.51;Dropout
80539;Single;2nd phase—general contingent;1;14;Daytime;1;1;13;27;8;5;No;Yes;No;1;Female;0;20;0;0;6;7;6;12.666666666666666;0;0;6;9;6;13.77777777777778;0;10.8;1.4;1.74;Graduate
50791;Single;2nd phase—general contingent;1;4;Daytime;1;1;23;27;10;10;Yes;No;No;1;Female;0;21;0;12;18;22;18;11.88888888888889;1;11;13;13;13;11.461538461538462;0;15.5;2.8;-4.06;Graduate
30639;Single;Holders of other higher courses;1;8;Daytime;3;1;13;28;10;10;Yes;No;No;1;Female;0;23;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;12.4;0.5;1.79;Dropout
82282;Single;2nd phase—general contingent;5;5;Daytime;1;1;13;28;6;8;No;No;Yes;0;Female;0;21;0;0;6;6;4;13.0;0;0;6;8;4;11.6;0;10.8;1.4;1.74;Dropout
72091;Single;Holders of other higher courses;1;12;Daytime;15;1;1;1;10;5;No;No;No;1;Female;0;24;0;4;7;7;7;16.885714285714283;0;3;8;9;8;15.744444444444444;0;16.2;0.3;-0.92;Graduate
80066;Single;Over 23 years old;1;3;Evening;1;1;1;1;5;5;No;No;No;1;Female;0;27;0;0;6;6;6;12.5;0;1;6;6;6;12.333333333333334;0;15.5;2.8;-4.06;Graduate
73716;Single;1st phase—general contingent;1;12;Daytime;1;1;1;27;4;9;No;No;No;1;Female;1;18;0;0;7;9;7;13.055555555555555;0;0;8;8;8;15.8125;0;13.9;-0.3;0.79;Graduate
21967;Single;1st phase—general contingent;3;2;Daytime;1;1;7;1;7;7;Yes;No;No;0;Female;0;21;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;9.4;-0.8;-3.12;Dropout
31672;Single;2nd phase—general contingent;1;8;Daytime;1;1;13;3;4;3;Yes;No;Yes;1;Female;1;19;0;0;5;7;0;0.0;0;0;5;5;0;0.0;0;7.6;2.6;0.32;Dropout
4127;Single;1st phase—general contingent;6;12;Daytime;1;1;23;14;8;8;Yes;No;No;1;Female;1;19;0;0;8;8;7;12.355714285714283;0;0;8;8;7;12.355714285714283;0;10.8;1.4;1.74;Graduate
56841;Single;2nd phase—general contingent;1;6;Daytime;1;1;13;28;32;44;No;No;No;1;Female;0;18;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;12.4;0.5;1.79;Dropout
14384;Single;Change in course;3;12;Daytime;1;1;23;27;7;6;Yes;No;No;1;Female;1;18;0;0;7;8;5;11.98;0;0;7;8;5;11.98;0;7.6;2.6;0.32;Dropout
29184;Single;1st phase—general contingent;2;16;Daytime;1;1;22;27;29;41;Yes;No;Yes;1;Female;1;20;0;0;7;7;7;13.857142857142858;0;0;7;8;7;12.571428571428571;0;8.9;1.4;3.51;Graduate
51748;Married;1st phase—general contingent;1;3;Evening;1;1;1;27;5;8;Yes;No;No;1;Female;0;24;0;0;6;9;5;13.0;0;0;6;6;6;14.166666666666666;0;9.4;-0.8;-3.12;Graduate
17756;Single;1st phase—general contingent;1;5;Daytime;1;1;1;1;2;2;Yes;No;No;1;Female;0;20;0;0;6;6;6;12.833333333333334;0;0;6;10;6;11.166666666666666;0;12.4;0.5;1.79;Graduate
95207;Single;2nd phase—general contingent;3;9;Daytime;1;1;1;14;6;8;No;No;No;1;Female;0;20;0;0;5;11;4;11.0;0;0;5;7;5;13.2;0;12.4;0.5;1.79;Dropout
76019;Single;1st phase—general contingent;1;12;Daytime;1;1;13;27;10;10;Yes;No;No;1;Female;1;19;0;0;8;8;7;12.357142857142858;0;0;8;8;7;12.357142857142858;0;12.7;3.7;-1.7;Graduate
71490;Single;1st phase—general contingent;6;12;Daytime;1;1;1;27;10;10;Yes;No;No;1;Female;1;18;0;0;8;8;7;13.857142857142858;0;0;8;8;7;13.857142857142858;0;12.7;3.7;-1.7;Graduate
70733;Single;2nd phase—general contingent;2;10;Daytime;3;1;22;27;8;9;Yes;No;No;1;Female;1;20;0;0;6;6;6;12.333333333333334;0;0;6;6;6;10.666666666666666;0;9.4;-0.8;-3.12;Graduate
50155;Single;2nd phase—general contingent;1;12;Daytime;1;1;22;27;10;9;Yes;No;No;1;Female;0;20;0;0;7;8;7;12.847142857142858;0;0;8;10;8;13.788888888888888;0;16.2;0.3;-0.92;Graduate
17819;Single;2nd phase—general contingent;2;12;Daytime;1;1;13;27;5;8;Yes;No;No;1;Female;1;19;0;0;7;9;6;12.339999999999998;0;0;8;9;8;13.01875;0;11.1;0.6;2.02;Graduate
61428;Single; Technological specialization diploma holders;1;6;Daytime;14;1;3;1;3;4;Yes;No;No;1;Female;0;19;0;0;6;10;5;12.666666666666666;0;0;6;19;4;11.75;0;12.4;0.5;1.79;Dropout
40073;Single;1st phase—general contingent;1;15;Daytime;1;1;3;14;5;6;Yes;No;No;1;Female;0;20;0;0;6;6;6;13.833333333333334;0;0;6;6;6;12.5;0;12.7;3.7;-1.7;Graduate
49266;Single;2nd phase—general contingent;2;9;Daytime;1;1;1;28;5;4;Yes;No;No;1;Female;0;19;0;0;5;15;2;10.75;0;0;5;11;2;10.0;0;13.9;-0.3;0.79;Dropout
57825;Single;2nd phase—general contingent;5;16;Daytime;1;1;23;28;10;8;Yes;No;No;1;Female;0;19;0;0;6;11;4;13.25;0;0;6;10;4;10.25;0;9.4;-0.8;-3.12;Dropout
3440;Single;2nd phase—general contingent;1;12;Daytime;1;1;23;27;8;6;Yes;No;No;1;Female;1;18;0;0;8;8;8;13.73125;0;0;8;8;8;13.73125;0;9.4;-0.8;-3.12;Graduate
44657;Single;2nd phase—general contingent;4;5;Daytime;1;1;23;27;10;10;No;No;No;1;Female;1;23;0;0;6;6;6;13.333333333333334;0;0;6;8;3;12.666666666666666;0;11.1;0.6;2.02;Dropout
17041;Single;1st phase—general contingent;1;16;Daytime;1;1;13;14;10;9;Yes;No;No;1;Female;0;21;0;0;6;8;5;12.0;0;0;6;9;5;10.8;0;12.7;3.7;-1.7;Dropout
8482;Single; Technological specialization diploma holders;1;3;Evening;14;1;22;28;7;7;Yes;No;No;1;Female;0;23;0;5;9;10;9;10.88888888888889;0;3;8;10;6;11.333333333333334;0;11.1;0.6;2.02;Graduate
71501;Single;1st phase—general contingent;3;12;Daytime;1;1;13;27;10;8;Yes;No;No;1;Female;0;19;0;0;7;8;7;13.025;0;0;8;9;8;13.811111111111112;0;13.9;-0.3;0.79;Graduate
18798;Single;2nd phase—general contingent;2;15;Daytime;1;1;1;28;6;7;Yes;No;No;1;Female;0;18;0;0;6;6;6;13.0;0;0;6;6;6;14.166666666666666;0;12.4;0.5;1.79;Graduate
72239;Single;1st phase—general contingent;1;15;Daytime;1;1;13;27;10;10;Yes;Yes;No;1;Female;0;19;0;0;6;10;5;11.8;0;0;6;10;5;12.0;0;10.8;1.4;1.74;Graduate
5466;Single;Over 23 years old;1;12;Daytime;1;1;13;27;10;10;No;No;No;1;Female;1;25;0;0;8;8;7;12.042857142857144;0;0;8;8;7;12.042857142857144;0;12.7;3.7;-1.7;Graduate
71166;Single;1st phase—general contingent;2;16;Daytime;1;1;1;28;5;10;Yes;No;No;1;Female;0;19;0;0;6;9;5;12.2;0;0;6;10;4;13.0;0;9.4;-0.8;-3.12;Dropout
94129;Single;1st phase—general contingent;1;12;Daytime;1;1;1;14;6;8;No;No;No;1;Female;1;19;0;0;7;8;7;12.8375;0;0;8;8;8;15.5;0;13.9;-0.3;0.79;Graduate
96836;Single;Over 23 years old;1;13;Daytime;1;1;23;28;29;44;No;No;Yes;1;Female;1;24;0;0;7;13;7;11.0;0;0;8;13;7;11.7;0;12.7;3.7;-1.7;Graduate
8319;Single;1st phase—general contingent;1;14;Daytime;1;1;22;27;10;8;Yes;No;No;1;Female;1;18;0;0;6;7;6;13.5;0;0;6;9;5;14.0;0;8.9;1.4;3.51;Graduate
73875;Single;2nd phase—general contingent;5;10;Daytime;1;1;22;27;8;6;Yes;No;No;1;Female;1;19;0;0;6;8;6;12.125;0;0;6;7;6;12.714285714285714;0;16.2;0.3;-0.92;Graduate
3155;Single;1st phase—general contingent;5;12;Daytime;1;1;22;27;10;10;No;No;No;1;Female;1;18;0;0;8;12;7;12.62857142857143;0;0;8;12;7;12.62857142857143;0;12.7;3.7;-1.7;Graduate
26486;Single;Over 23 years old;1;17;Evening;1;1;23;1;10;5;No;No;No;1;Female;0;27;0;0;5;9;3;10.666666666666666;0;0;5;7;4;11.4;0;10.8;1.4;1.74;Dropout
61468;Single;2nd phase—general contingent;3;10;Daytime;1;1;1;1;5;6;No;No;No;1;Female;0;19;0;0;6;11;5;11.2;0;0;6;13;5;11.6;0;15.5;2.8;-4.06;Graduate
57820;Single;3rd phase—general contingent;1;15;Daytime;1;1;1;1;4;4;No;No;No;1;Female;1;18;0;0;6;6;6;12.666666666666666;0;0;6;6;6;11.833333333333334;0;12.7;3.7;-1.7;Dropout
38092;Married;Over 23 years old;1;14;Daytime;1;1;22;27;10;1;No;No;Yes;0;Female;0;34;0;0;6;7;4;13.5;0;0;6;6;0;0.0;6;12.7;3.7;-1.7;Dropout
33779;Single;1st phase—general contingent;6;9;Daytime;1;1;22;27;10;10;No;No;No;1;Female;0;18;0;0;5;9;3;11.666666666666666;0;0;5;15;2;11.0;0;7.6;2.6;0.32;Dropout
76769;Single;1st phase—general contingent;1;9;Daytime;1;1;22;28;5;10;Yes;No;No;1;Female;0;18;0;0;5;8;2;10.5;0;0;5;7;3;12.333333333333334;0;7.6;2.6;0.32;Dropout
8305;Single;1st phase—general contingent;3;12;Daytime;1;1;22;28;8;8;Yes;No;No;1;Female;0;18;0;0;8;8;8;14.26875;0;0;8;8;8;14.26875;0;9.4;-0.8;-3.12;Dropout
26106;Single;1st phase—general contingent;2;15;Daytime;1;1;23;28;8;8;Yes;No;Yes;0;Female;0;20;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;8.9;1.4;3.51;Dropout
62608;Single;1st phase—general contingent;1;9;Daytime;1;1;13;27;10;10;Yes;No;No;1;Female;1;19;0;0;5;8;2;10.5;0;0;5;11;3;13.333333333333334;0;7.6;2.6;0.32;Dropout
43589;Single;1st phase—general contingent;1;10;Daytime;1;1;22;1;4;6;No;No;No;1;Female;0;21;0;0;6;11;5;11.2;0;0;6;15;1;10.0;0;7.6;2.6;0.32;Dropout
89889;Married;Over 23 years old;1;17;Evening;3;1;13;14;10;8;No;No;No;1;Female;0;26;0;0;5;5;5;12.0;0;0;5;6;5;14.833333333333334;0;10.8;1.4;1.74;Graduate
28467;Single;Change in course;2;13;Daytime;1;1;1;14;5;4;No;No;No;1;Female;0;27;0;0;7;9;7;12.228571428571428;0;1;8;10;8;13.2125;0;10.8;1.4;1.74;Graduate
96968;Single;1st phase—general contingent;1;14;Daytime;1;1;1;28;6;2;Yes;No;No;1;Female;0;20;0;0;5;6;4;11.5;0;0;5;5;4;10.75;0;9.4;-0.8;-3.12;Graduate
96620;Single;2nd phase—general contingent;1;10;Daytime;1;1;13;1;6;1;Yes;No;No;1;Female;0;18;0;0;6;8;6;15.375;0;0;6;7;6;16.428571428571427;0;16.2;0.3;-0.92;Graduate
23165;Single;Short cycle diploma holders;1;6;Daytime;16;1;1;1;6;6;Yes;No;No;0;Female;0;23;0;7;12;19;9;13.666666666666666;0;4;9;15;6;13.5;0;8.9;1.4;3.51;Dropout
79961;Single;Over 23 years old;1;12;Daytime;12;1;1;5;5;4;No;No;No;1;Female;0;24;0;0;8;11;7;12.614285714285714;0;0;8;11;7;12.614285714285714;0;12.7;3.7;-1.7;Graduate
83877;Single; Technological specialization diploma holders;1;10;Daytime;14;1;23;28;7;10;Yes;No;No;1;Female;1;19;0;3;6;7;5;12.2;0;2;6;6;6;11.5;0;13.9;-0.3;0.79;Graduate
93644;Single;1st phase—general contingent;1;15;Daytime;1;1;13;28;4;6;No;No;No;1;Female;0;19;0;0;6;13;4;11.75;0;0;6;10;4;11.0;0;10.8;1.4;1.74;Graduate
16460;Single;1st phase—general contingent;4;10;Daytime;1;1;13;28;10;7;Yes;No;Yes;1;Female;1;19;0;0;6;9;5;11.4;0;0;6;9;3;10.0;0;8.9;1.4;3.51;Dropout
35023;Single;1st phase—general contingent;1;10;Daytime;1;1;22;14;6;11;No;No;Yes;1;Female;0;18;0;0;6;10;5;10.6;0;0;6;14;2;10.0;0;7.6;2.6;0.32;Dropout
59266;Single;Change in institution/course;1;3;Evening;1;1;1;28;6;8;No;No;No;1;Female;0;22;0;14;16;16;13;10.923076923076923;0;13;13;13;11;11.454545454545457;0;16.2;0.3;-0.92;Graduate
31577;Single;Change in course;1;5;Daytime;1;1;1;14;6;11;No;No;No;1;Female;0;20;0;0;6;6;5;12.4;0;0;6;9;5;12.4;0;12.7;3.7;-1.7;Graduate
83732;Single;Over 23 years old;1;4;Daytime;1;1;13;14;10;10;No;No;No;1;Female;0;25;0;0;6;6;0;0.0;0;0;6;6;0;0.0;0;11.1;0.6;2.02;Dropout
8018;Single; Technological specialization diploma holders;1;4;Daytime;14;1;1;3;5;3;No;No;No;1;Female;0;21;0;0;6;6;6;15.833333333333334;0;0;6;8;6;15.5;0;15.5;2.8;-4.06;Graduate
21755;Single;1st phase—general contingent;1;12;Daytime;1;1;13;14;32;44;Yes;No;No;1;Female;0;19;0;0;7;12;5;11.8;0;0;7;9;6;11.708333333333334;0;11.1;0.6;2.02;Dropout
13604;Single;2nd phase—general contingent;4;15;Daytime;1;1;1;14;5;2;Yes;No;No;1;Female;0;18;0;0;6;7;6;12.571428571428571;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;Graduate
87019;Single;1st phase—general contingent;3;14;Daytime;1;1;22;27;1;1;Yes;No;No;1;Female;0;18;0;0;5;7;3;12.0;0;0;5;7;4;13.25;1;7.6;2.6;0.32;Graduate
87639;Single;2nd phase—general contingent;3;12;Daytime;1;1;3;3;10;8;Yes;No;No;1;Male;0;19;0;0;7;8;7;13.3625;0;0;8;9;8;14.444444444444445;0;13.9;-0.3;0.79;Graduate
48219;Single;1st phase—general contingent;1;6;Daytime;1;5;3;3;7;7;Yes;No;No;1;Female;1;19;1;0;5;6;5;15.4;0;0;5;5;5;16.0;0;10.8;1.4;1.74;Graduate
97631;Single;2nd phase—general contingent;2;15;Daytime;1;1;22;28;6;6;Yes;No;Yes;0;Female;0;18;0;0;6;9;5;12.2;0;0;6;9;4;11.75;0;10.8;1.4;1.74;Dropout
31460;Single;Change in institution/course;1;10;Daytime;14;1;23;28;6;8;Yes;No;No;1;Female;1;20;0;6;11;11;11;12.818181818181818;0;6;11;11;11;13.545454545454543;0;12.4;0.5;1.79;Graduate
29728;Single;2nd phase—general contingent;5;12;Daytime;1;1;1;14;5;9;Yes;No;No;1;Female;0;19;0;0;7;0;0;0.0;0;0;8;0;0;0.0;0;12.4;0.5;1.79;Dropout
74490;Single;Transfer;1;12;Daytime;1;1;13;27;6;8;Yes;No;No;1;Female;0;28;0;12;17;21;17;13.394736842105264;0;11;17;19;17;13.554736842105264;0;16.2;0.3;-0.92;Graduate
48879;Single;1st phase—general contingent;1;10;Daytime;1;1;22;1;10;10;Yes;No;No;1;Female;1;20;0;0;6;8;6;14.25;0;0;6;8;6;11.0;0;12.7;3.7;-1.7;Graduate
47959;Single;Transfer;1;3;Evening;1;1;22;28;12;8;Yes;No;No;1;Female;0;30;0;9;11;19;9;13.444444444444445;1;5;7;7;7;14.714285714285714;0;7.6;2.6;0.32;Dropout
29722;Single;1st phase—general contingent;4;12;Daytime;1;1;1;14;10;8;Yes;No;No;1;Female;1;19;0;0;7;8;7;12.285714285714286;0;0;8;10;8;11.7375;0;12.4;0.5;1.79;Graduate
96481;Single;1st phase—general contingent;2;5;Daytime;1;1;13;14;4;4;Yes;No;No;1;Female;0;22;0;0;6;7;6;11.666666666666666;0;0;6;7;5;13.2;0;12.7;3.7;-1.7;Graduate
85113;Single;1st phase—general contingent;1;11;Daytime;1;1;23;28;6;9;Yes;No;No;1;Female;0;18;0;0;6;8;6;12.166666666666666;0;0;6;6;6;13.5;0;11.1;0.6;2.02;Graduate
97168;Single;2nd phase—general contingent;1;16;Daytime;1;1;22;27;10;10;Yes;No;No;1;Female;0;23;0;0;6;11;2;10.0;0;0;6;15;2;11.0;0;7.6;2.6;0.32;Dropout
44524;Single;2nd phase—general contingent;4;5;Daytime;1;1;1;14;6;8;Yes;No;No;1;Female;0;18;0;0;6;6;6;14.0;0;0;6;6;6;15.0;0;11.1;0.6;2.02;Graduate
77883;Single;1st phase—general contingent;1;16;Daytime;1;1;22;14;8;8;Yes;No;No;1;Female;0;18;0;0;6;9;5;11.833333333333334;0;0;6;6;4;12.0;0;15.5;2.8;-4.06;Dropout
92136;Married;Over 23 years old;1;15;Daytime;12;1;22;27;1;1;No;No;Yes;0;Male;0;50;0;0;6;7;1;15.0;0;0;5;12;0;0.0;0;10.8;1.4;1.74;Dropout
39995;Single;1st phase—general contingent;1;2;Daytime;1;14;3;3;3;6;Yes;No;No;1;Female;1;19;1;0;0;0;0;0.0;0;0;0;0;0;0.0;0;13.9;-0.3;0.79;Graduate
28998;Single;2nd phase—general contingent;2;11;Daytime;1;14;13;28;10;10;Yes;No;No;1;Female;0;22;1;0;6;7;6;10.833333333333334;0;0;6;6;6;10.666666666666666;0;13.9;-0.3;0.79;Graduate
9712;Single; Technological specialization diploma holders;1;10;Daytime;14;14;1;1;5;7;No;No;Yes;1;Female;1;23;1;3;6;7;6;13.142857142857142;0;2;6;6;6;14.0;0;12.4;0.5;1.79;Graduate
82693;Single;3rd phase—general contingent;4;6;Daytime;1;1;1;1;5;6;No;No;Yes;0;Female;1;20;0;2;5;8;5;14.4;1;0;5;6;5;14.0;0;12.7;3.7;-1.7;Dropout
72015;Divorced;Over 23 years old;1;10;Daytime;12;1;22;27;10;11;No;No;No;0;Female;0;44;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;13.9;-0.3;0.79;Dropout
13976;Divorced;Over 23 years old;1;4;Daytime;12;1;22;27;10;10;No;No;No;1;Male;0;49;0;6;12;17;7;12.0;0;3;12;19;9;11.22222222222222;0;15.5;2.8;-4.06;Graduate
10050;Married;Change in course;1;17;Evening;1;1;22;27;10;10;No;No;No;1;Male;0;46;0;6;10;13;9;12.2;0;4;10;12;10;12.8;0;7.6;2.6;0.32;Graduate
43030;Single;Over 23 years old;1;6;Daytime;14;1;22;27;2;10;Yes;No;No;0;Male;0;41;0;3;3;3;3;12.333333333333334;0;2;2;2;2;11.0;0;12.4;0.5;1.79;Dropout
54620;Single;2nd phase—general contingent;3;12;Daytime;1;1;23;14;10;9;Yes;No;No;1;Male;0;18;0;0;7;8;7;11.8375;0;0;8;9;8;12.48125;0;13.9;-0.3;0.79;Graduate
30388;Widower;Over 23 years old;1;17;Evening;1;1;22;1;10;3;No;No;No;1;Male;0;43;0;0;5;5;5;11.8;0;0;5;6;5;14.0;0;9.4;-0.8;-3.12;Graduate
19265;Divorced;Over 23 years old;2;9;Daytime;12;1;22;27;10;8;No;No;Yes;0;Male;0;70;0;0;5;5;0;0.0;0;0;5;9;0;0.0;0;10.8;1.4;1.74;Dropout
5336;Divorced;Over 23 years old;1;8;Daytime;12;1;22;28;10;5;No;No;No;1;Male;0;48;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;15.5;2.8;-4.06;Dropout
81068;Married;Change in course;1;4;Daytime;1;1;22;27;10;8;No;No;No;1;Male;0;41;0;18;19;19;19;12.68421052631579;0;12;13;13;13;12.384615384615383;0;15.5;2.8;-4.06;Graduate
39443;Single;1st phase—general contingent;1;11;Daytime;1;1;13;14;10;4;No;No;No;1;Male;0;21;0;0;6;8;6;12.571428571428571;0;0;6;10;4;13.0;0;12.7;3.7;-1.7;Dropout
